节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.89.0.68,cce-ig-n0jfrz87-8477305z-1l07dy42 / i-UxzFcWIe,可用,后付费,可用区C,10.89.0.68,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: 5.53% | 15.72% 
内存: 3.76% | 9.73%","""27/128""",L20-nodepool（cce-ig-n0jfrz87）,,"v1.28.8
containerd://1.7.25
Ubuntu 22.04.1 LTS",2025-09-03 19:54:55
10.90.0.57,cce-ig-3glhc0ke-iu70gso8-yz74f3ay-3 / i-5J4LTFVD,可用,预付费,可用区C,10.90.0.57,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 9.00% | 195.00% 
内存: 2.24% | 62.12%","""16/128""",pool-8c32g-cpu（cce-ig-3glhc0ke）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-15 22:46:08
10.90.0.55,cce-ig-3glhc0ke-iu70gso8-yz74f3ay-5 / i-JSwphlGN,可用,预付费,可用区C,10.90.0.55,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 9.50% | 171.25% 
内存: 2.36% | 55.92%","""15/128""",pool-8c32g-cpu（cce-ig-3glhc0ke）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-15 22:46:08
10.90.0.46,cce-ig-3glhc0ke-iu70gso8-yz74f3ay-4 / i-1Jm9W8li,可用,预付费,可用区C,10.90.0.46,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 9.50% | 162.50% 
内存: 3.47% | 73.61%","""12/128""",pool-8c32g-cpu（cce-ig-3glhc0ke）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-15 22:46:08
10.90.0.47,cce-ig-3glhc0ke-iu70gso8-yz74f3ay-1 / i-cg07xvum,可用,预付费,可用区C,10.90.0.47,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 9.75% | 156.25% 
内存: 2.63% | 52.26%","""18/128""",pool-8c32g-cpu（cce-ig-3glhc0ke）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-15 22:46:08
10.90.0.56,cce-ig-3glhc0ke-iu70gso8-yz74f3ay-2 / i-FQJC1GHj,可用,预付费,可用区C,10.90.0.56,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 49.50% | 361.25% 
内存: 42.71% | 190.01%","""20/128""",pool-8c32g-cpu（cce-ig-3glhc0ke）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-15 22:46:08
10.90.0.38,cce-ig-ikw29271-12bvf49z-cueho205-4 / i-YXgr68GY,可用,预付费,可用区C,10.90.0.38,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 52.62% | 252.50% 
内存: 16.51% | 84.64%","""18/128""",pool-8c32g（cce-ig-ikw29271）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-02 14:21:22
10.90.0.37,cce-ig-ikw29271-12bvf49z-cueho205-5 / i-z0nRtkH0,可用,预付费,可用区C,10.90.0.37,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 38.88% | 190.00% 
内存: 16.51% | 68.73%","""13/128""",pool-8c32g（cce-ig-ikw29271）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-02 14:21:22
10.90.0.34,cce-ig-ikw29271-12bvf49z-cueho205-2 / i-upXyzNSS,可用,预付费,可用区C,10.90.0.34,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 42.00% | 246.25% 
内存: 45.85% | 154.68%","""16/128""",pool-8c32g（cce-ig-ikw29271）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-02 14:21:22
10.90.0.36,cce-ig-ikw29271-12bvf49z-cueho205-1 / i-g68ObVbJ,可用,预付费,可用区C,10.90.0.36,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 52.62% | 280.00% 
内存: 24.33% | 138.91%","""17/128""",pool-8c32g（cce-ig-ikw29271）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-02 14:21:22
10.90.0.35,cce-ig-ikw29271-12bvf49z-cueho205-3 / i-a7gAnHDS,可用,预付费,可用区C,10.90.0.35,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 47.25% | 260.00% 
内存: 17.75% | 99.09%","""20/128""",pool-8c32g（cce-ig-ikw29271）,,"v1.28.8
containerd://1.7.25
CentOS Linux 7 (Core)",2025-04-02 14:21:22
